acc,delta_total,eps_converted,eps_remaining,event,event_type,op,regret
0.28252324923233213,1e-05,0.0,1.0,0,calibrate,calibrate,0.0
0.5684827239830983,1e-05,0.0,1.0,1,calibrate,calibrate,0.0
4.095803214617698,1e-05,0.0,1.0,2,calibrate,calibrate,0.0
2.0211913460941644,1e-05,0.0,1.0,3,calibrate,calibrate,0.0
0.9388816730883606,1e-05,0.0,1.0,4,calibrate,calibrate,0.0
2.191248548855324,1e-05,0.0,1.0,5,calibrate,calibrate,0.0
1.8389841990798133,1e-05,0.0,1.0,6,calibrate,calibrate,0.0
8.44704734090671,1e-05,0.0,1.0,7,calibrate,calibrate,0.0
0.336013294119478,1e-05,0.0,1.0,8,calibrate,calibrate,0.0
4.942117046905912,1e-05,0.0,1.0,9,calibrate,calibrate,0.0
5.099729225512531,1e-05,,,60,warmup,warmup,26.007238173546643
0.8269400118295678,1e-05,,,61,warmup,warmup,26.69106795671133
3.7413115140620885,1e-05,,,62,warmup,warmup,40.68847980196489
1.3541704701046138,1e-05,,,63,warmup,warmup,42.52225746406824
1.761955873139366,1e-05,,,64,warmup,warmup,45.626745962958545
5.047507817717822,1e-05,,,65,warmup,warmup,71.10408113288108
3.3158221074575343,1e-05,,,66,warmup,warmup,82.09875738118521
1.8958102334213818,1e-05,,,67,warmup,warmup,85.69285382233045
2.813990569032282,1e-05,,,68,warmup,warmup,93.61139674493307
0.4073370534662164,1e-05,,,69,warmup,warmup,93.77732022005961
3.830582109363343,1e-05,,,70,warmup,warmup,108.45067951663412
0.9038211441990054,1e-05,,,71,warmup,warmup,109.26757217733532
0.948979676134087,1e-05,,,72,warmup,warmup,110.16813460305089
2.339676190596548,1e-05,,,73,warmup,warmup,115.64221927989526
1.69743290461603,1e-05,,,74,warmup,warmup,118.52349774556848
0.9845061965470683,1e-05,,,75,warmup,warmup,119.49275019660806
1.5352292848199554,1e-05,,,76,warmup,warmup,121.84967915357684
0.7890923003071284,1e-05,,,77,warmup,warmup,122.47234581198084
