C_hat,D_hat,G_hat,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,base_eta_t,c_hat,comparator_type,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,lambda_est,m_capacity,m_used,op,regret,rho_remaining,rho_spent,rho_step,sample_id,segment_id,sens_delete,sigma_step,sigma_step_theory,x_norm
,,,,0.0,0.0,159.50008474553556,2.745031119896261,,0.07918073721133859,,dynamic,,,0,False,,,,0.07918073721133859,0,0,calibrate,21.167344474631218,,,calibrate,0.0,,,,linear_000000,0,,,,4.6007981300354
,,,,0.0,0.0,370.94311056546593,3.44759860124426,,0.0519213941516338,,dynamic,,,0,False,,,,0.0519213941516338,1,1,calibrate,20.82954671846506,,,calibrate,0.0,,,,linear_000001,0,,,,4.2177414894104
,,,,0.0,0.0,716.6402060600064,4.4792005033110325,,0.03735505799580252,,dynamic,,,0,False,,,,0.03735505799580252,2,2,calibrate,20.46840383458698,,,calibrate,0.0,,,,linear_000002,0,,,,4.150948524475098
,,,,0.0,0.0,716.8452898828632,0.09030604933987085,,0.03734971411880737,,dynamic,,,0,False,,,,0.03734971411880737,3,3,calibrate,20.934823188480063,,,calibrate,0.0,,,,linear_000003,0,,,,5.014744758605957
,,,,0.0,0.0,771.9975272058122,1.818449309326854,,0.035990845178641984,,dynamic,,,0,False,,,,0.035990845178641984,4,4,calibrate,20.498053676061176,,,calibrate,0.0,,,,linear_000004,0,,,,4.083949565887451
,,,,0.0,0.0,771.9975436518171,0.0007561472028815852,,0.0359908447952822,,dynamic,,,0,False,,,,0.0359908447952822,5,5,calibrate,21.291821749056915,,,calibrate,0.0,,,,linear_000005,0,,,,5.363198280334473
,,,,0.0,0.0,819.122596649673,1.4438412250139543,,0.03494021287684317,,dynamic,,,0,False,,,,0.03494021287684317,6,6,calibrate,21.36927388002047,,,calibrate,0.0,,,,linear_000006,0,,,,4.754518032073975
,,,,0.0,0.0,951.8555360060174,3.0288591164796186,,0.032412645546244234,,dynamic,,,0,False,,,,0.032412645546244234,7,7,calibrate,20.654894490855863,,,calibrate,0.0,,,,linear_000007,0,,,,3.8037352561950684
,,,,0.0,0.0,953.7715972060697,0.4078052696197727,,0.0323800717963852,,dynamic,,,0,False,,,,0.0323800717963852,8,8,calibrate,19.719248370693506,,,calibrate,0.0,,,,linear_000008,0,,,,3.394312858581543
,,,,0.0,0.0,2103.799975933467,6.073224365527308,,0.021802072379340717,,dynamic,,,0,False,,,,0.021802072379340717,9,9,calibrate,20.63867233108187,,,calibrate,0.0,,,,linear_000009,0,,,,5.583865165710449
