C_hat,D_hat,G_hat,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,base_eta_t,c_hat,comparator_type,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,lambda_est,m_capacity,m_used,op,regret,rho_remaining,rho_spent,rho_step,sample_id,segment_id,sens_delete,sigma_step,sigma_step_theory,x_norm
,,,,0.0,0.0,8.850638934257594,0.646627408214979,,0.336134189179924,,dynamic,,,0,False,,,,0.336134189179924,0,0,calibrate,21.16734472867768,,,calibrate,0.0,,,,linear_000000,0,,,,4.6007981300354
,,,,0.0,0.0,22.5699072789848,0.8781839600828207,,0.2104917663536966,,dynamic,,,0,False,,,,0.2104917663536966,1,1,calibrate,20.829544617916035,,,calibrate,0.0,,,,linear_000001,0,,,,4.2177414894104
,,,,0.0,0.0,395.2331527752797,4.650620469459819,,0.05030061750661499,,dynamic,,,0,False,,,,0.05030061750661499,2,2,calibrate,20.468400953931177,,,calibrate,0.0,,,,linear_000002,0,,,,4.150948524475098
,,,,0.0,0.0,462.9003598219214,1.6403641190452767,,0.046478942766764994,,dynamic,,,0,False,,,,0.046478942766764994,3,3,calibrate,20.934821917140393,,,calibrate,0.0,,,,linear_000003,0,,,,5.014744758605957
,,,,0.0,0.0,589.9763150678964,2.76026835157032,,0.04117017485470083,,dynamic,,,0,False,,,,0.04117017485470083,4,4,calibrate,20.498053562982882,,,calibrate,0.0,,,,linear_000004,0,,,,4.083949565887451
,,,,0.0,0.0,697.6541672999667,1.9348144689500955,,0.037859938453746016,,dynamic,,,0,False,,,,0.037859938453746016,5,5,calibrate,21.29182226858564,,,calibrate,0.0,,,,linear_000005,0,,,,5.363198280334473
,,,,0.0,0.0,1040.8377488772517,3.8963391801544836,,0.030996202009683747,,dynamic,,,0,False,,,,0.030996202009683747,6,6,calibrate,21.369270572488514,,,calibrate,0.0,,,,linear_000006,0,,,,4.754518032073975
,,,,0.0,0.0,1084.9820336389903,1.7467347866603102,,0.03035908839290432,,dynamic,,,0,False,,,,0.03035908839290432,7,7,calibrate,20.654886986262884,,,calibrate,0.0,,,,linear_000007,0,,,,3.8037352561950684
,,,,0.0,0.0,1125.4716044984484,1.8746480119986728,,0.029807992539805445,,dynamic,,,0,False,,,,0.029807992539805445,8,8,calibrate,19.71924146064637,,,calibrate,0.0,,,,linear_000008,0,,,,3.394312858581543
,,,,0.0,0.0,1125.4870954022958,0.02228966068408278,,0.029807787404474675,,dynamic,,,0,False,,,,0.029807787404474675,9,9,calibrate,20.638662223646588,,,calibrate,0.0,,,,linear_000009,0,,,,5.583865165710449
,,,,0.0,0.0,1245.5153632577517,2.745213966802041,,0.028335146054305625,,dynamic,,,0,False,,,,0.028335146054305625,10,10,calibrate,20.008324728356264,,,calibrate,0.0,,,,linear_000010,0,,,,3.990851640701294
,,,,0.0,0.0,1320.9094017238308,1.7309467011163537,,0.027514617790018264,,dynamic,,,0,False,,,,0.027514617790018264,11,11,calibrate,20.464194867724338,,,calibrate,0.0,,,,linear_000011,0,,,,5.01631498336792
,,,,0.0,0.0,1687.567321716479,4.187893391812089,,0.024342739213964903,,dynamic,,,0,False,,,,0.024342739213964903,12,12,calibrate,20.249760168377403,,,calibrate,0.0,,,,linear_000012,0,,,,4.572302341461182
,,,,0.0,0.0,1706.781942355499,0.8565347843306246,,0.024205328461023985,,dynamic,,,0,False,,,,0.024205328461023985,13,13,calibrate,20.71624203027182,,,calibrate,0.0,,,,linear_000013,0,,,,5.117653846740723
