C_hat,D_hat,G_hat,N_gamma,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,comparator_type,cum_regret,cum_regret_with_noise,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,lambda_est,m_capacity,m_used,noise_regret_cum,noise_regret_increment,op,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,segment_id,sens_delete,sigma_step,sigma_step_theory,x_norm
,,,,,0.0,0.0,906.2970219409855,6.543379327327077,,0.0,0.0,0.03321733019083136,,none,0.0,0.0,,,0,False,,,,0.03321733019083136,0,0,calibrate,21.16734377752155,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000000,0,,,,4.6007981300354
,,,,,0.0,0.0,1278.5301982363694,4.574331000624587,,0.0,0.0,0.027966911290071898,,none,0.0,0.0,,,0,False,,,,0.027966911290071898,1,1,calibrate,20.829539964048365,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000001,0,,,,4.2177414894104
,,,,,0.0,0.0,1680.6537825580247,4.830948156524594,,0.0,0.0,0.02439275598824132,,none,0.0,0.0,,,0,False,,,,0.02439275598824132,2,2,calibrate,20.468400341226058,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000002,0,,,,4.150948524475098
,,,,,0.0,0.0,1888.3372202564644,2.8737704612080255,,0.0,0.0,0.02301231039694774,,none,0.0,0.0,,,0,False,,,,0.02301231039694774,3,3,calibrate,20.934821092443094,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000003,0,,,,5.014744758605957
,,,,,0.0,0.0,1924.448412914967,1.4714331885052618,,0.0,0.0,0.022795381405906697,,none,0.0,0.0,,,0,False,,,,0.022795381405906697,4,4,calibrate,20.49804615107734,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000004,0,,,,4.083949565887451
,,,,,0.0,0.0,2569.1147420490033,4.7341674633727076,,0.0,0.0,0.019729144305688482,,none,0.0,0.0,,,0,False,,,,0.019729144305688482,5,5,calibrate,21.291824188313257,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000005,0,,,,5.363198280334473
,,,,,0.0,0.0,2570.2330459212044,0.222419781472862,,0.0,0.0,0.019724851780747593,,none,0.0,0.0,,,0,False,,,,0.019724851780747593,6,6,calibrate,21.369279453277915,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000006,0,,,,4.754518032073975
,,,,,0.0,0.0,2639.399709418931,2.1864429511265215,,0.0,0.0,0.019464686697290935,,none,0.0,0.0,,,0,False,,,,0.019464686697290935,7,7,calibrate,20.654890404747487,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000007,0,,,,3.8037352561950684
,,,,,0.0,0.0,2692.6886340101883,2.150634443505245,,0.0,0.0,0.019271118920739322,,none,0.0,0.0,,,0,False,,,,0.019271118920739322,8,8,calibrate,19.719251431953598,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000008,0,,,,3.394312858581543
,,,,,0.0,0.0,3915.8083349523945,6.26324682911428,,0.0,0.0,0.015980460381827696,,none,0.0,0.0,,,0,False,,,,0.015980460381827696,9,9,calibrate,20.638676926527086,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000009,0,,,,5.583865165710449
