C_hat,D_hat,G_hat,N_gamma,N_star_theory,PT_target_residual,P_T,P_T_est,P_T_true,ST_running,ST_target_residual,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,clip_applied,comparator_type,cum_regret,cum_regret_with_noise,d_norm,delta_P,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,g_norm,lambda_est,lambda_raw,m_capacity,m_used,noise,noise_regret_cum,noise_regret_increment,op,pair_admitted,pair_damped,path_regret_increment,privacy_spend_running,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,sc_active,sc_stable,segment_id,sens_delete,sigma_delete,sigma_step,sigma_step_theory,static_regret_increment,stepsize_params,stepsize_policy,theory_targets,w_star_norm,x_norm
1.0,1.0,1.0,,,-5.146554745802292e-05,0.0,0.0,0.0009485344525419771,0.0009999999999999998,-2.1684043449710089e-16,0.011034578434879825,0.07220124081635551,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.10504560169221662,0.0009485344525419771,,1e-05,0,False,,,,1.0,0,0,calibrate,0.03162277660168379,2.11673455982896,2.11673455982896,0,0,-0.018486236354526057,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000000,False,1,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.011034578434879825, 'eta_formula': 'D/√S_t'}",adagrad,"{'target_G': 1.0, 'target_D': 1.0, 'target_c': 1.0, 'target_C': 1.0, 'target_lambda': 0.1, 'target_PT': 1.0, 'target_ST': 1.0, 'accountant': 'zcdp', 'rho_total': 1.0, 'eps_total': None, 'delta_total': 1e-05}",0.49999999999999994,1.4549001455307007
1.0,1.0,1.0,,,-0.00010293109491602611,0.0,0.0,0.001897068905083974,0.001999999999999999,-4.3368086899420177e-16,0.06515571355538687,0.17442289240363534,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.1099048980613492,0.0009485344525419969,,1e-05,0,False,,,,1.0,1,1,calibrate,0.031622776601683784,2.082954544558064,1.7789344071199964,0,0,-0.06809295444039414,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000001,False,2,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.06515571355538687, 'eta_formula': 'D/√S_t'}",adagrad,,0.4999999999999999,1.3337669372558594
1.0,1.0,1.0,,,-0.00015439664237401184,0.0,0.0,0.0028456033576259882,0.0029999999999999983,-5.782411586589357e-16,0.07754618590911866,0.08480014184923079,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.06230971087279048,0.0009485344525420144,,1e-05,0,False,,,,1.0,2,2,calibrate,0.031622776601683784,2.0468402159185657,1.7218112581630831,0,0,0.12225413386740303,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000002,False,3,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.07754618590911866, 'eta_formula': 'D/√S_t'}",adagrad,,0.49999999999999983,1.3126453161239624
1.0,1.0,1.0,,,-0.00020586218983203747,0.0,0.0,0.0037941378101679626,0.003999999999999998,-4.3368086899420177e-16,0.07764457380054766,0.006254922945394606,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.005712659281728648,0.0009485344525419742,,1e-05,0,False,,,,1.0,3,3,calibrate,0.03162277660168379,2.0934822084392266,2.513260141125177,0,0,-0.015452948206880215,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000003,False,4,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.07764457380054766, 'eta_formula': 'D/√S_t'}",adagrad,,0.49999999999999983,1.585801601409912
1.0,1.0,1.0,,,-0.0002573277372900154,0.0,0.0,0.004742672262709985,0.004999999999999998,-3.469446951953614e-16,0.08368216631764688,0.06016605523956496,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.03155472273898554,0.0009485344525420223,,1e-05,0,False,,,,1.0,4,4,calibrate,0.03162277660168379,2.049805142042494,1.6567115444718978,0,0,-0.042832782216310726,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000004,False,5,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.08368216631764688, 'eta_formula': 'D/√S_t'}",adagrad,,0.49999999999999983,1.291458249092102
1.0,1.0,1.0,,,-0.0003087932847479777,0.0,0.0,0.005691206715252022,0.005999999999999998,-2.8912057932946783e-16,0.23798542120924296,0.23161339861508726,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.2254029453872,0.0009485344525420375,,1e-05,0,False,,,,1.0,5,5,calibrate,0.03162277660168379,2.129182080445414,2.8435745260716936,0,0,-0.03521335504882296,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000005,False,6,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.23798542120924296, 'eta_formula': 'D/√S_t'}",adagrad,,0.49999999999999983,1.6959922313690186
1.0,1.0,1.0,,,-0.0003602588322059773,0.0,0.0,0.006639741167794023,0.0069999999999999975,-3.717264591378872e-16,0.2393055138290636,0.024165497116940146,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.013638345526932456,0.0009485344525420001,,1e-05,0,False,,,,1.0,6,6,calibrate,0.031622776601683784,2.136927114575805,2.2066324217493207,0,0,0.05323091855533488,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000006,False,7,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.2393055138290636, 'eta_formula': 'D/√S_t'}",adagrad,,0.49999999999999983,1.503510594367981
1.0,1.0,1.0,,,-0.00041172437966401944,0.0,0.0,0.007588275620335981,0.007999999999999997,-4.3368086899420177e-16,0.25868230409408166,0.11572591935174521,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.065359892555674,0.0009485344525419578,,1e-05,0,False,,,,1.0,7,7,calibrate,0.03162277660168379,2.065488983038531,1.422545799203062,0,0,0.036544406436407835,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000007,False,8,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.25868230409408166, 'eta_formula': 'D/√S_t'}",adagrad,,0.4999999999999998,1.202846646308899
1.0,1.0,1.0,,,-0.00046318992712200344,0.0,0.0,0.008536810072877996,0.008999999999999996,-5.782411586589357e-16,0.2619293619699678,0.0530876083382776,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.038130517374322694,0.0009485344525420159,,1e-05,0,False,,,,1.0,8,8,calibrate,0.03162277660168379,1.971924395618786,1.1298431088410823,0,0,0.04127326115959884,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000008,False,9,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.2619293619699678, 'eta_formula': 'D/√S_t'}",adagrad,,0.4999999999999998,1.073375940322876
1.0,1.0,1.0,,,-0.0005146554745800135,0.0,0.0,0.009485344525419987,0.009999999999999995,-5.204170427930421e-16,0.2767331897307675,0.06890521218805828,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.08811850710927127,0.0009485344525419916,,1e-05,0,False,,,,1.0,9,9,calibrate,0.03162277660168379,2.063866547666824,2.8913459160991652,0,0,0.043082100300788274,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000009,False,10,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.2767331897307675, 'eta_formula': 'D/√S_t'}",adagrad,,0.4999999999999997,1.7657732963562012
