acc,capacity_remaining,eps_spent,event,op,regret
0.4202387580428284,1.0,0.0,50000,insert,988.7204409042869
0.19106361206212696,1.0,0.0,50001,insert,988.738693556214
0.11511513305966314,1.0,0.0,50002,insert,988.7453193031437
0.21179416071247936,1.0,0.0,50003,insert,988.7677476863996
0.3681599661671324,1.0,0.0,50004,insert,988.8355185667438
0.12424290889051215,1.0,0.0,50005,insert,988.8432367169486
0.19860334502613597,1.0,0.0,50006,insert,988.8629583612764
0.07425333168913861,1.0,0.0,50007,insert,988.8657151399099
0.10344269222589286,1.0,0.0,50008,insert,988.8710653351974
0.003153375126482949,1.0,0.0,50009,insert,988.8710703070848
0.11058951966820763,0.0,1.0,50010,delete,988.877185328015
