acc,capacity_remaining,eps_spent,event,op,regret
0.04467175879504026,1.0,0.0,50000,insert,995.406987692313
0.021667445469434332,1.0,0.0,50001,insert,995.4072224314097
0.3517746502615622,1.0,0.0,50002,insert,995.4690951336929
0.3450529698990792,1.0,0.0,50003,insert,995.528625909711
0.0018848810673235405,1.0,0.0,50004,insert,995.5286276860993
0.11177746231066532,1.0,0.0,50005,insert,995.5348747866396
0.021477486018707026,1.0,0.0,50006,insert,995.5351054278425
0.08732997449001534,1.0,0.0,50007,insert,995.5389186900647
0.2147731636209811,1.0,0.0,50008,insert,995.5619824459707
0.09671270899401707,1.0,0.0,50009,insert,995.5666591200112
0.009052244790498598,0.0,1.0,50010,delete,995.566700091579
