acc,capacity_remaining,eps_spent,event,op,regret
0.5754398252451558,inf,0.0,0,calibrate,0.0
3.552429268303792,inf,0.0,1,calibrate,0.0
0.4093130473051605,inf,0.0,2,calibrate,0.0
2.814636597456645,inf,0.0,3,calibrate,0.0
0.4009651123733293,inf,0.0,4,calibrate,0.0
6.199145903190319,inf,0.0,5,calibrate,0.0
2.458084113715345,inf,0.0,6,calibrate,0.0
8.978411829347444,inf,0.0,7,calibrate,0.0
2.554698029826941,inf,0.0,8,calibrate,0.0
2.5687958915736884,inf,0.0,9,calibrate,0.0
2.21652478747521,inf,0.0,10,calibrate,0.0
3.1522809208677574,inf,0.0,11,calibrate,0.0
1.4117754131382245,inf,0.0,12,calibrate,0.0
1.381888117856843,inf,0.0,13,calibrate,0.0
5.181942575581669,inf,0.0,14,calibrate,0.0
1.2286203451731417,inf,0.0,15,calibrate,0.0
0.19646455160916432,inf,0.0,16,calibrate,0.0
3.624750635949616,inf,0.0,17,calibrate,0.0
1.9673754055769956,inf,0.0,18,calibrate,0.0
1.069318762135498,inf,0.0,19,calibrate,0.0
6.160899690440797,inf,0.0,20,calibrate,0.0
4.701908192530977,inf,0.0,21,calibrate,0.0
3.0516745247378996,inf,0.0,22,calibrate,0.0
2.5658809429640295,inf,0.0,23,calibrate,0.0
3.6213909513143574,inf,0.0,24,calibrate,0.0
2.185112655293863,inf,0.0,25,calibrate,0.0
2.1978512039936757,inf,0.0,26,calibrate,0.0
11.914777961788019,inf,0.0,27,calibrate,0.0
0.6268513341849022,inf,0.0,28,calibrate,0.0
3.66641099335566,inf,0.0,29,calibrate,0.0
4.992454675488226,inf,0.0,30,calibrate,0.0
4.747016737086373,inf,0.0,31,calibrate,0.0
2.6103924814360875,inf,0.0,32,calibrate,0.0
5.74041636992272,inf,0.0,33,calibrate,0.0
1.817785807656,inf,0.0,34,calibrate,0.0
5.375604313801867,inf,0.0,35,calibrate,0.0
5.729241481442797,inf,0.0,36,calibrate,0.0
1.0107037397903131,inf,0.0,37,calibrate,0.0
1.0646931657091687,inf,0.0,38,calibrate,0.0
0.4134131590274537,inf,0.0,39,calibrate,0.0
0.8627416709327225,inf,0.0,40,calibrate,0.0
4.821634158747979,inf,0.0,41,calibrate,0.0
3.4371398002221554,inf,0.0,42,calibrate,0.0
3.106671391981725,inf,0.0,43,calibrate,0.0
0.5856110756263657,inf,0.0,44,calibrate,0.0
7.431611676944226,inf,0.0,45,calibrate,0.0
3.8387109808471314,inf,0.0,46,calibrate,0.0
1.5557228862345291,inf,0.0,47,calibrate,0.0
