acc,capacity_remaining,eps_spent,event,op,regret
0.1731485934208017,1.0,0.0,50000,insert,977.7029889633391
0.09704882410403659,1.0,0.0,50001,insert,977.707698200469
0.08699889734934985,1.0,0.0,50002,insert,977.711482604539
0.01631833270949823,1.0,0.0,50003,insert,977.7116157485302
0.04410555625147446,1.0,0.0,50004,insert,977.7125883985764
0.2418223931934902,1.0,0.0,50005,insert,977.7418274335013
0.26890262429232925,1.0,0.0,50006,insert,977.7779817441769
0.04239943431958837,1.0,0.0,50007,insert,977.7788806001922
0.05529209763634846,1.0,0.0,50008,insert,977.7804092082227
0.17486709118800325,1.0,0.0,50009,insert,977.795698458013
0.12836085390512375,0.0,1.0,50010,delete,977.8039367124206
