acc,capacity_remaining,delta_step_theory,delta_total,eps_spent,eps_step_theory,event,event_type,op,regret
4.059955843855475,inf,,,0.0,,0,calibrate,calibrate,0.0
14.709106179450675,inf,,,0.0,,1,calibrate,calibrate,0.0
1.1012293971409242,inf,,,0.0,,2,calibrate,calibrate,0.0
0.6139724065005518,inf,,,0.0,,3,calibrate,calibrate,0.0
11.884356876692,inf,,,0.0,,4,calibrate,calibrate,0.0
6.408190310867619,inf,,,0.0,,5,calibrate,calibrate,0.0
34.24365600249628,inf,,,0.0,,6,calibrate,calibrate,0.0
16.100076137213975,inf,,,0.0,,7,calibrate,calibrate,0.0
6.5241727656678234,inf,,,0.0,,8,calibrate,calibrate,0.0
8.392670699212273,inf,,,0.0,,9,calibrate,calibrate,0.0
32.695005326496215,inf,,,0.0,,10,calibrate,calibrate,0.0
1.9293393786157138,inf,,,0.0,,11,calibrate,calibrate,0.0
15.968785516941715,inf,,,0.0,,12,calibrate,calibrate,0.0
10.09721884192785,inf,,,0.0,,13,calibrate,calibrate,0.0
13.93426610510356,inf,,,0.0,,14,calibrate,calibrate,0.0
4.404527439605666,inf,,,0.0,,15,calibrate,calibrate,0.0
32.72291293867639,inf,,,0.0,,16,calibrate,calibrate,0.0
1.6829931019961002,inf,,,0.0,,17,calibrate,calibrate,0.0
2.536624829843896,inf,,,0.0,,18,calibrate,calibrate,0.0
17.173740955607894,inf,,,0.0,,19,calibrate,calibrate,0.0
46.02155666186701,inf,,,0.0,,20,calibrate,calibrate,0.0
7.028911344947811,inf,,,0.0,,21,calibrate,calibrate,0.0
8.53355123386779,inf,,,0.0,,22,calibrate,calibrate,0.0
6.691867911984954,inf,,,0.0,,23,calibrate,calibrate,0.0
2.0244548936188886,inf,,,0.0,,24,calibrate,calibrate,0.0
16.39415236093836,inf,,,0.0,,25,calibrate,calibrate,0.0
10.277400744186046,inf,,,0.0,,26,calibrate,calibrate,0.0
6.319097703762869,inf,,,0.0,,27,calibrate,calibrate,0.0
3.5790364739533542,inf,,,0.0,,28,calibrate,calibrate,0.0
1.4443332253248986,inf,,,0.0,,29,calibrate,calibrate,0.0
11.590572260507287,inf,,,0.0,,30,calibrate,calibrate,0.0
0.02291882695136671,inf,,,0.0,,31,calibrate,calibrate,0.0
7.160869661112099,inf,,,0.0,,32,calibrate,calibrate,0.0
3.6056774391855715,inf,,,0.0,,33,calibrate,calibrate,0.0
1.0563609026904537,inf,,,0.0,,34,calibrate,calibrate,0.0
6.970732754251605,inf,,,0.0,,35,calibrate,calibrate,0.0
1.9494682380395068,inf,,,0.0,,36,calibrate,calibrate,0.0
13.463081517359809,inf,,,0.0,,37,calibrate,calibrate,0.0
18.784825674919176,inf,,,0.0,,38,calibrate,calibrate,0.0
0.011721698766117727,inf,,,0.0,,39,calibrate,calibrate,0.0
8.691046430411442,inf,,,0.0,,40,calibrate,calibrate,0.0
1.0278930392540313,inf,,,0.0,,41,calibrate,calibrate,0.0
17.252733832976453,inf,,,0.0,,42,calibrate,calibrate,0.0
7.224027423136421,inf,,,0.0,,43,calibrate,calibrate,0.0
10.303431036008531,inf,,,0.0,,44,calibrate,calibrate,0.0
8.975525728003836,inf,,,0.0,,45,calibrate,calibrate,0.0
13.086901778782888,inf,,,0.0,,46,calibrate,calibrate,0.0
0.3952934294164545,inf,,,0.0,,47,calibrate,calibrate,0.0
15.12588499976096,inf,,,0.0,,48,calibrate,calibrate,0.0
8.41245238130627,inf,,,0.0,,49,calibrate,calibrate,0.0
11.51857419530633,,,1e-05,0.0,,100,warmup,warmup,132.67755149277687
10.22341920325212,,,1e-05,0.0,,101,warmup,warmup,237.1958516982011
5.2453061431959895,,,1e-05,0.0,,102,warmup,warmup,264.7090882340507
3.763709641794062,,,1e-05,0.0,,103,warmup,warmup,278.87459850178425
2.7620064600165435,,,1e-05,0.0,,104,warmup,warmup,286.50327818695735
0.2411344351181739,,,1e-05,0.0,,105,warmup,warmup,286.5614240027571
2.4580071634184595,,,1e-05,0.0,,106,warmup,warmup,292.6032232181736
6.395068600227355,,,1e-05,0.0,,107,warmup,warmup,333.50012561978747
