C_hat,D_hat,G_hat,N_star_theory,acc,c_hat,delta_total,eps_converted,eps_remaining,event,event_type,m_theory,op,regret,sigma_step_theory
,,,,0.28252324923233213,,1e-05,0.0,1.0,0,calibrate,,calibrate,0.0,
,,,,0.5684827239830983,,1e-05,0.0,1.0,1,calibrate,,calibrate,0.0,
,,,,4.095803214617698,,1e-05,0.0,1.0,2,calibrate,,calibrate,0.0,
,,,,2.0211913460941644,,1e-05,0.0,1.0,3,calibrate,,calibrate,0.0,
,,,,0.9388816730883606,,1e-05,0.0,1.0,4,calibrate,,calibrate,0.0,
,,,,2.191248548855324,,1e-05,0.0,1.0,5,calibrate,,calibrate,0.0,
,,,,1.8389841990798133,,1e-05,0.0,1.0,6,calibrate,,calibrate,0.0,
,,,,8.44704734090671,,1e-05,0.0,1.0,7,calibrate,,calibrate,0.0,
,,,,0.336013294119478,,1e-05,0.0,1.0,8,calibrate,,calibrate,0.0,
,,,,4.942117046905912,,1e-05,0.0,1.0,9,calibrate,,calibrate,0.0,
,,,,6.458593377998915,,1e-05,0.0,1.0,10,calibrate,,calibrate,0.0,
,,,,0.24392744957710955,,1e-05,0.0,1.0,11,calibrate,,calibrate,0.0,
,,,,0.023321438962437213,,1e-05,0.0,1.0,12,calibrate,,calibrate,0.0,
,,,,1.8267338193262281,,1e-05,0.0,1.0,13,calibrate,,calibrate,0.0,
,,,,0.895410314546119,,1e-05,0.0,1.0,14,calibrate,,calibrate,0.0,
,,,,2.9977320793513806,,1e-05,0.0,1.0,15,calibrate,,calibrate,0.0,
,,,,0.9962592164265464,,1e-05,0.0,1.0,16,calibrate,,calibrate,0.0,
,,,,0.07880471373435394,,1e-05,0.0,1.0,17,calibrate,,calibrate,0.0,
,,,,4.882193008889137,,1e-05,0.0,1.0,18,calibrate,,calibrate,0.0,
,,,,1.5376287785963458,,1e-05,0.0,1.0,19,calibrate,,calibrate,0.0,
,,,,1.6729931860087364,,1e-05,0.0,1.0,20,calibrate,,calibrate,0.0,
