C_hat,D_hat,G_hat,N_gamma,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,comparator_type,cum_regret,cum_regret_with_noise,d_norm,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,lambda_est,lambda_raw,m_capacity,m_used,noise_regret_cum,noise_regret_increment,op,pair_admitted,pair_damped,path_regret_increment,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,sc_active,sc_stable,segment_id,sens_delete,sigma_step,sigma_step_theory,static_regret_increment,x_norm
,,,,,0.0,0.0,8.460643312892218,0.6322203807835249,eps_delta,0.0,0.0,0.3437940109919642,,none,0.0,0.0,2.9087185001117275,,1e-05,0,False,1.0,0.0,,0.3437940109919642,0,0,calibrate,21.167344501141667,21.167344501141667,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000000,False,1,0,,,,0.0,4.6007981300354
,,,,,0.0,0.0,239.55983714778984,3.604286014212349,eps_delta,0.0,0.0,0.06460899646024579,,none,0.0,0.0,0.7181792237413832,,1e-05,0,False,1.0,0.0,,0.06460899646024579,1,1,calibrate,20.829543466708827,17.78933415681327,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000001,False,2,0,,,,0.0,4.2177414894104
,,,,,0.0,0.0,1447.1814767200754,8.3717853505849,eps_delta,0.0,0.0,0.026286847306556237,,none,0.0,0.0,1.9452589039239667,,1e-05,0,False,1.0,0.0,,0.026286847306556237,2,2,calibrate,20.468397825337206,17.21808705299261,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000002,False,3,0,,,,0.0,4.150948524475098
,,,,,0.0,0.0,2486.2035607810703,6.427817329335103,eps_delta,0.0,0.0,0.02005541522247065,,none,0.0,0.0,1.8564382117454574,,1e-05,0,False,1.0,0.0,,0.02005541522247065,3,3,calibrate,20.934818789196243,25.132607463927542,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000003,False,4,0,,,,0.0,5.014744758605957
,,,,,0.0,0.0,2614.9862101629624,2.778742595505226,eps_delta,0.0,0.0,0.019555336724594058,,none,0.0,0.0,0.46085147434566764,,1e-05,0,False,1.0,0.0,,0.019555336724594058,4,4,calibrate,20.49804192156891,16.56705011292289,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000004,False,5,0,,,,0.0,4.083949565887451
,,,,,0.0,0.0,3058.1655827721156,3.9252371547591274,eps_delta,0.0,0.0,0.018082959175214346,,none,0.0,0.0,1.2079895468164055,,1e-05,0,False,1.0,0.0,,0.018082959175214346,5,5,calibrate,21.291813675585896,28.435759461738794,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000005,False,6,0,,,,0.0,5.363198280334473
,,,,,0.0,0.0,3061.380860399199,0.3771401467328891,eps_delta,0.0,0.0,0.01807346068239741,,none,0.0,0.0,0.06730833590790429,,1e-05,0,False,1.0,0.0,,0.01807346068239741,6,6,calibrate,21.369259084622062,22.06626776594758,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000006,False,7,0,,,,0.0,4.754518032073975
,,,,,0.0,0.0,3233.803966527944,3.4521324349774742,eps_delta,0.0,0.0,0.017585031690161335,,none,0.0,0.0,0.6165515368649969,,1e-05,0,False,1.0,0.0,,0.017585031690161335,7,7,calibrate,20.65487693362967,14.22543757469815,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000007,False,8,0,,,,0.0,3.8037352561950684
,,,,,0.0,0.0,3362.824512803777,3.3463978909904006,eps_delta,0.0,0.0,0.01724439243959892,,none,0.0,0.0,0.7600778470934123,,1e-05,0,False,1.0,0.0,,0.01724439243959892,8,8,calibrate,19.71923020763172,11.298409673650204,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000008,False,9,0,,,,0.0,3.394312858581543
,,,,,0.0,0.0,3740.2060683048167,3.479007658302827,eps_delta,0.0,0.0,0.01635129804458659,,none,0.0,0.0,1.4069240991053618,,1e-05,0,False,1.0,0.0,,0.01635129804458659,9,9,calibrate,20.638656799477086,28.913496126085374,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000009,False,10,0,,,,0.0,5.583865165710449
